make,model,year,overall_rating,frontal_crash,side_crash,rollover,safety_concern,model,1,2,3,,,,
Acura,MDX SPORT HYBRID SUV AWD,2020,4.7,5,5,4,FALSE,MDX,SPORT,HYBRID,SUV,AWD,,,
Acura,MDX SUV AWD,2020,4.7,5,5,4,FALSE,MDX,SUV,AWD,,,,,
Acura,ILX Hybrid 4 DR FWD,2015,4.3,4,5,4,FALSE,ILX,Hybrid,4,DR,FWD,,,
Acura,RDX SUV AWD,2021,4.3,4,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,RDX SUV FWD,2021,4.3,4,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV FWD,2022,4.3,4,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV AWD,2022,4.3,4,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,MDX SUV FWD,2022,4.3,4,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,ILX 4 DR FWD,2021,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,TLX 4 DR FWD,2021,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,TLX 4 DR AWD,2021,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,MDX SUV FWD,2023,4.3,4,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,ILX 4 DR FWD,2022,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,RDX SUV FWD,2023,4.3,4,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV AWD,2023,4.3,4,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,TLX 4 DR FWD,2023,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,TLX 4 DR AWD,2023,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,INTEGRA 5 HB FWD,2023,5,5,5,5,FALSE,INTEGRA,5,HB,FWD,,,,
Acura,TLX 4 DR FWD,2022,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,TLX 4 DR AWD,2022,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,INTEGRA 5 HB FWD,2024,5,5,5,5,FALSE,INTEGRA,5,HB,FWD,,,,
Acura,MDX SUV FWD,2024,4.3,4,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,RDX SUV FWD,2024,4.3,4,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV AWD,2024,4.3,4,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,TLX 4 DR FWD,2024,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,TLX 4 DR AWD,2024,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,MDX SUV 4WD,2012,4.3,4,5,4,FALSE,MDX,SUV,4WD,,,,,
Acura,TL 4 DR 4WD Later Release,2012,4.3,4,4,5,FALSE,TL,4,DR,4WD,Later,Release,,
Acura,TL 4 DR FWD Later Release,2012,4.3,4,4,5,FALSE,TL,4,DR,FWD,Later,Release,,
Acura,MDX SUV 4WD,2013,4.3,4,5,4,FALSE,MDX,SUV,4WD,,,,,
Acura,TL 4 DR FWD,2013,4.3,4,4,5,FALSE,TL,4,DR,FWD,,,,
Acura,TL 4 DR 4WD,2013,4.3,4,4,5,FALSE,TL,4,DR,4WD,,,,
Acura,TL 4 DR FWD,2014,4.3,4,4,5,FALSE,TL,4,DR,FWD,,,,
Acura,TL 4 DR 4WD,2014,4.3,4,4,5,FALSE,TL,4,DR,4WD,,,,
Acura,TL 4 DR FWD Early Release,2012,3.7,2,4,5,FALSE,TL,4,DR,FWD,Early,Release,,
Acura,TL 4 DR 4WD Early Release,2012,3.7,2,4,5,FALSE,TL,4,DR,4WD,Early,Release,,
Audi,A4 4 DR AWD,2013,5,5,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2013,5,5,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,S4 4 DR AWD,2013,5,5,5,5,FALSE,S4,4,DR,AWD,,,,
Audi,A3 4 DR AWD,2015,4.3,4,5,4,FALSE,A3,4,DR,AWD,,,,
Audi,A3 4 DR FWD,2015,4.3,4,5,4,FALSE,A3,4,DR,FWD,,,,
Audi,S3 4 DR AWD,2015,4.3,4,5,4,FALSE,S3,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2015,5,5,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,A4 4 DR AWD,2015,5,5,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,S4 4 DR AWD,2015,5,5,5,5,FALSE,S4,4,DR,AWD,,,,
Audi,Allroad SW AWD,2015,4.7,5,5,4,FALSE,Allroad,SW,AWD,,,,,
Audi,A6 4 DR FWD,2015,5,5,5,5,FALSE,A6,4,DR,FWD,,,,
Audi,A6 4 DR AWD,2015,5,5,5,5,FALSE,A6,4,DR,AWD,,,,
Audi,S6 4 DR AWD,2015,5,5,5,5,FALSE,S6,4,DR,AWD,,,,
Audi,A3 4 DR AWD,2016,4.3,4,5,4,FALSE,A3,4,DR,AWD,,,,
Audi,A3 4 DR FWD,2016,4.3,4,5,4,FALSE,A3,4,DR,FWD,,,,
Audi,Allroad SW AWD,2016,4.7,5,5,4,FALSE,Allroad,SW,AWD,,,,,
Audi,A4 4 DR AWD,2016,5,5,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2016,5,5,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,S3 4 DR AWD,2016,4.3,4,5,4,FALSE,S3,4,DR,AWD,,,,
Audi,S4 4 DR AWD,2016,5,5,5,5,FALSE,S4,4,DR,AWD,,,,
Audi,A6 4 DR AWD,2016,5,5,5,5,FALSE,A6,4,DR,AWD,,,,
Audi,A6 4 DR FWD,2016,5,5,5,5,FALSE,A6,4,DR,FWD,,,,
Audi,S6 4 DR AWD,2016,5,5,5,5,FALSE,S6,4,DR,AWD,,,,
Audi,S6 4 DR AWD,2014,5,5,5,5,FALSE,S6,4,DR,AWD,,,,
Audi,Allroad SW AWD,2014,4.7,5,5,4,FALSE,Allroad,SW,AWD,,,,,
Audi,A6 4 DR AWD,2014,5,5,5,5,FALSE,A6,4,DR,AWD,,,,
Audi,A6 4 DR FWD,2014,5,5,5,5,FALSE,A6,4,DR,FWD,,,,
Audi,A4 4 DR AWD,2014,5,5,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2014,5,5,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,S4 4 DR AWD,2014,5,5,5,5,FALSE,S4,4,DR,AWD,,,,
Audi,A3 4 DR AWD,2017,4.3,4,5,4,FALSE,A3,4,DR,AWD,,,,
Audi,A3 4 DR FWD,2017,4.3,4,5,4,FALSE,A3,4,DR,FWD,,,,
Audi,S3 4 DR AWD,2017,4.3,4,5,4,FALSE,S3,4,DR,AWD,,,,
Audi,A6 4 DR FWD,2017,5,5,5,5,FALSE,A6,4,DR,FWD,,,,
Audi,A6 4 DR AWD,2017,5,5,5,5,FALSE,A6,4,DR,AWD,,,,
Audi,S6 4 DR AWD,2017,5,5,5,5,FALSE,S6,4,DR,AWD,,,,
Audi,A4 4 DR AWD,2017,4.7,4,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2017,4.7,4,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,A5 Sportback 4 DR AWD,2018,4.7,4,5,5,FALSE,A5,Sportback,4,DR,AWD,,,
Audi,Q5 SUV AWD Early Release,2018,4.7,5,5,4,FALSE,Q5,SUV,AWD,Early,Release,,,
Audi,Q7 SUV AWD,2018,4.3,4,5,4,FALSE,Q7,SUV,AWD,,,,,
Audi,A3 4 DR AWD,2018,4.3,4,5,4,FALSE,A3,4,DR,AWD,,,,
Audi,A3 4 DR FWD,2018,4.3,4,5,4,FALSE,A3,4,DR,FWD,,,,
Audi,S3 4 DR AWD,2018,4.3,4,5,4,FALSE,S3,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2018,4.7,4,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,A4 4 DR AWD,2018,4.7,4,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A6 4 DR AWD,2018,5,5,5,5,FALSE,A6,4,DR,AWD,,,,
Audi,A6 4 DR FWD,2018,5,5,5,5,FALSE,A6,4,DR,FWD,,,,
Audi,S6 4 DR AWD,2018,5,5,5,5,FALSE,S6,4,DR,AWD,,,,
